id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate2#E21;77.68;85.38;0.233018460554607;0.0950735228847918;NA;0;0.00496063610805611;6.40089979380736;E21;G3-Z20;NA;Z20;3;NA;plate2;V8;DW;20;NA
plate2#E23;77.66;85.53;0.23687682358488;0.089276643468346;0.186017187376031;0;0.00091486096215119;6.3668914340154;E23;G3-Z23;NA;Z23;3;NA;plate2;V8;RA;23&24;0.259109162747622
plate2#E6;78;85.04;0.227394369856755;0.102008228420453;0.166112602599784;0;0;7.04454626588475;E6;G6-Z23;NA;Z23;6;NA;plate2;V8;RA;23&24;0.233975455808774
plate2#F1;77.66;85.36;0.261873011465966;0.132952539756336;0.207991546692246;0;0.00910663966405156;7.18717572215548;F1;G6-Z21;NA;Z21;6;NA;plate2;V8;VFP;21;0.285768923034321
plate2#F13;77.38;84.86;0.257952393497518;0.137855315302081;NA;0;0.00678992375904429;5.02269573917494;F13;G6-Z24;NA;Z24;6;NA;plate2;V8;RA;23&24;NA
plate2#F14;78.18;85;0.204373777908196;0.0819696169953102;0.143673042195542;0;0;5.71676360057032;F14;G3-Z21;NA;Z21;3;NA;plate2;V8;VFP;21;0.204082181986032
plate2#F16;77.23;85;0.268156461101549;0.111050062845134;NA;0;0;5.03472491872813;F16;G6-N24;NA;N24;6;NA;plate2;V8;RA;23&24;NA
plate2#G10;78.46;85.44;0;0;0;0;0;5.84832816307557;G10;8-0%;calib;8-0%;NA;0%;plate2;V8;NA;NA;-0.00550094891728664
plate2#G19;77.47;85.07;0.275103067467708;0.137154994467526;0.209341771075772;0;0.00387826260742512;6.10537712046336;G19;G6-N23;NA;N23;6;NA;plate2;V8;RA;23&24;0.287375742614707
plate2#G20;78.31;85.38;0.197890229736854;0.0856785232392395;0.155553670832932;0;0.00280081286268542;6.11952182394106;G20;G3-N22;NA;N22;3;NA;plate2;V8;VFP;22;0.220130143050924
